amount,hour_of_day,day_of_week,is_weekend,is_night,merchant_category,is_foreign_country,transaction_count_1h,transaction_count_24h,amount_vs_avg_ratio,is_new_merchant,is_high_risk_category,label
180.98,8,5,1,0,gas_station,0,3,8,1.59,0,0,0
467.87,14,4,0,0,electronics,0,1,1,1.05,0,0,0
719.93,7,4,0,0,entertainment,0,1,9,1.47,0,0,0
465.62,9,3,0,0,restaurant,0,1,1,1.42,1,0,0
446.14,2,0,0,1,gas_station,1,3,4,1.41,0,0,0
83.38,11,2,0,0,gas_station,0,4,3,1.82,0,0,0
1199.69,19,6,1,0,travel,0,4,5,0.72,0,0,0
498.64,12,4,0,0,grocery,0,1,1,0.98,0,0,0
171.28,8,3,0,0,travel,0,2,4,1.59,0,0,0
104.07,14,6,1,0,gas_station,0,2,2,0.96,0,0,0
324.47,14,3,0,0,pharmacy,0,1,5,1.86,1,0,0
983.25,23,3,0,1,utilities,0,2,3,0.71,0,0,0
233.39,13,5,1,0,grocery,1,1,8,0.95,0,0,0
50.78,16,5,1,0,pharmacy,0,1,2,1.95,0,0,0
379.73,10,1,0,0,electronics,0,2,7,1.73,0,0,0
979.6,8,1,0,0,electronics,0,2,7,0.64,0,0,0
6.95,12,1,0,0,pharmacy,0,1,3,0.58,0,0,0
400.12,13,5,1,0,electronics,0,3,9,1.81,0,0,0
474.5,17,5,1,0,travel,0,2,6,0.7,0,0,0
272.76,9,3,0,0,grocery,0,2,3,1.29,0,0,0
61.87,8,0,0,0,online_shopping,1,1,5,1.86,0,0,0
165.01,8,1,0,0,pharmacy,0,1,1,1.44,0,0,0
19.86,8,6,1,0,grocery,0,2,6,1.02,0,0,0
221.37,21,1,0,0,travel,0,1,5,0.96,0,0,0
233.79,6,2,0,0,restaurant,0,1,6,1.8,0,0,0
695.72,8,2,0,0,pharmacy,0,1,5,1.81,0,0,0
458.96,6,6,1,0,online_shopping,0,1,7,0.97,1,0,0
147.96,8,3,0,0,pharmacy,0,1,4,0.74,0,0,0
301.61,20,2,0,0,travel,0,1,9,1.49,1,0,0
63.22,8,4,0,0,pharmacy,0,1,4,1.38,0,0,0
309.83,11,3,0,0,electronics,0,1,8,1.73,0,0,0
117.27,12,0,0,0,entertainment,0,1,5,1.72,0,0,0
24.91,19,3,0,0,pharmacy,0,2,1,1.41,0,0,0
429.4,12,5,1,0,retail,0,2,2,1.22,0,0,0
1211.61,5,4,0,0,entertainment,0,1,8,1.28,0,0,0
116.07,9,1,0,0,gas_station,0,2,7,0.55,0,0,0
144.13,14,6,1,0,restaurant,0,3,1,1.44,0,0,0
59.75,9,4,0,0,online_shopping,0,2,4,1.51,0,0,0
72.75,7,5,1,0,restaurant,0,3,5,0.92,1,0,0
226.62,19,4,0,0,pharmacy,0,1,6,1.54,0,0,0
86.08,12,3,0,0,pharmacy,0,1,1,0.63,1,0,0
495.9,11,0,0,0,pharmacy,0,1,6,0.61,0,0,0
8.57,14,1,0,0,online_shopping,0,2,6,1.76,0,0,0
28.5,21,3,0,0,gas_station,0,1,6,1.16,0,0,0
1265.59,16,5,1,0,utilities,0,1,8,0.79,0,0,0
69.4,18,5,1,0,entertainment,0,1,4,0.83,1,0,0
138.99,4,0,0,1,pharmacy,0,1,5,1.88,0,0,0
145.19,10,4,0,0,utilities,0,1,9,0.63,0,0,0
277.45,13,0,0,0,restaurant,0,1,8,1.23,0,0,0
60.41,22,0,0,0,gas_station,0,4,9,1.27,0,0,0
84.11,8,5,1,0,electronics,0,2,9,0.64,0,0,0
309.43,12,0,0,0,pharmacy,0,2,8,1.39,0,0,0
418.67,10,4,0,0,gas_station,0,2,9,0.67,0,0,0
6.35,8,1,0,0,grocery,0,2,1,1.5,0,0,0
134.77,5,4,0,0,retail,0,1,9,1.69,0,0,0
2442.51,2,6,1,1,gambling,0,4,10,6.06,1,1,1
82.48,6,3,0,0,gas_station,0,1,9,1.77,0,0,0
25.64,14,2,0,0,retail,0,2,8,0.68,0,0,0
159.19,12,5,1,0,restaurant,0,1,1,1.94,0,0,0
46.56,8,4,0,0,entertainment,1,2,6,1.17,0,0,0
83.67,8,3,0,0,gas_station,0,2,8,1.14,0,0,0
111.07,14,4,0,0,gas_station,0,1,8,1.62,0,0,0
24.23,21,3,0,0,online_shopping,0,2,3,1.27,0,0,0
96.36,8,2,0,0,online_shopping,0,2,1,0.78,0,0,0
358.6,14,5,1,0,gas_station,0,1,7,0.9,0,0,0
13.77,14,6,1,0,online_shopping,1,1,4,1.08,0,0,0
134.14,12,6,1,0,pharmacy,0,1,2,1.22,0,0,0
18.76,14,0,0,0,utilities,0,2,4,0.87,0,0,0
985.22,16,5,1,0,utilities,0,2,5,1.94,0,0,0
132.96,19,3,0,0,utilities,0,1,1,0.65,1,0,0
128.64,9,0,0,0,online_shopping,0,3,9,1.93,0,0,0
309.46,13,5,1,0,entertainment,0,2,5,0.93,0,0,0
46.05,11,3,0,0,restaurant,0,2,6,0.77,0,0,0
116.67,14,1,0,0,pharmacy,0,2,7,1.02,0,0,0
1166.01,11,6,1,0,restaurant,0,1,4,1.89,0,0,0
115.67,12,4,0,0,travel,0,1,6,1.26,0,0,0
896.25,12,0,0,0,online_shopping,0,3,3,0.55,0,0,0
136.81,22,1,0,0,grocery,0,2,6,0.82,0,0,0
2632.25,4,6,1,1,wire_transfer,0,2,2,8.09,1,1,1
239.88,13,0,0,0,entertainment,0,2,4,1.05,0,0,0
1483.73,14,5,1,0,online_shopping,0,1,1,1.87,0,0,0
255.26,18,3,0,0,electronics,0,1,7,1.79,0,0,0
25.39,14,6,1,0,electronics,0,1,8,1.47,0,0,0
66.96,6,1,0,0,entertainment,0,1,6,1.24,0,0,0
127.73,19,5,1,0,electronics,0,1,5,1.66,0,0,0
1042.57,6,3,0,0,gas_station,0,1,8,0.96,0,0,0
77.1,14,1,0,0,entertainment,0,2,4,1.58,1,0,0
58.88,15,2,0,0,pharmacy,0,1,7,0.71,0,0,0
2.62,1,1,0,1,unknown,0,26,26,0.08,0,1,1
4.61,3,6,1,1,wire_transfer,0,27,36,0.05,1,1,1
247.36,10,3,0,0,gas_station,0,2,6,1.44,0,0,0
305.19,7,3,0,0,entertainment,0,2,6,1.47,0,0,0
83.42,22,5,1,0,pharmacy,0,4,3,0.84,0,0,0
50.71,17,2,0,0,grocery,0,1,8,1.37,1,0,0
89.09,9,2,0,0,electronics,0,1,4,0.93,0,0,0
30.47,5,3,0,0,travel,0,3,1,1.09,0,0,0
1212.16,8,3,0,0,entertainment,0,1,6,0.65,0,0,0
397.31,9,6,1,0,online_shopping,0,1,5,1.75,0,0,0
371.64,6,0,0,0,electronics,0,1,4,0.88,0,0,0
410.16,0,6,1,1,online_shopping,0,2,3,1.08,0,0,0
139.22,4,1,0,1,gas_station,0,4,7,1.54,0,0,0
230.43,7,5,1,0,utilities,0,1,8,0.7,1,0,0
80.92,8,1,0,0,retail,0,1,3,1.15,0,0,0
411.47,19,5,1,0,online_shopping,0,3,3,1.03,0,0,0
191.48,19,4,0,0,pharmacy,0,1,6,1.89,0,0,0
73.34,12,0,0,0,travel,0,1,8,0.91,0,0,0
427.75,14,5,1,0,entertainment,0,2,4,1.93,0,0,0
113.75,11,2,0,0,online_shopping,0,3,7,1.18,0,0,0
58.85,21,5,1,0,entertainment,0,1,2,0.99,0,0,0
149.96,15,5,1,0,travel,0,1,5,0.54,0,0,0
65.51,13,0,0,0,pharmacy,0,2,2,1.61,0,0,0
477.11,2,3,0,1,unknown,1,1,5,4.82,1,0,1
778.65,9,6,1,0,gas_station,0,2,6,0.86,0,0,0
73.79,10,0,0,0,restaurant,0,4,7,1.15,0,0,0
37.31,19,5,1,0,online_shopping,0,2,1,1.67,0,0,0
187.74,10,1,0,0,utilities,1,2,5,0.73,0,0,0
16.53,7,2,0,0,gas_station,0,1,8,1.11,0,0,0
145.39,11,3,0,0,online_shopping,0,3,2,1.45,0,0,0
66.95,7,4,0,0,online_shopping,0,1,1,1.03,0,0,0
439.19,12,2,0,0,retail,0,1,5,0.99,0,0,0
23.16,18,0,0,0,gas_station,0,2,5,1.87,0,0,0
1411.02,12,2,0,0,utilities,0,1,6,1.94,1,0,0
104.98,13,3,0,0,grocery,0,3,6,0.66,0,0,0
76.73,11,5,1,0,utilities,0,3,7,1.22,0,0,0
350.17,1,0,0,1,utilities,0,3,9,1.33,0,0,0
611.26,21,2,0,0,utilities,0,2,7,0.75,0,0,0
467.39,15,5,1,0,retail,0,1,1,1.76,0,0,0
962.47,17,6,1,0,electronics,0,2,2,1.12,0,0,0
10.22,12,3,0,0,entertainment,0,3,8,1.67,0,0,0
260.5,14,3,0,0,retail,0,1,7,0.85,0,0,0
127.94,15,5,1,0,gas_station,0,2,3,1.74,0,0,0
51.45,12,6,1,0,restaurant,0,3,6,0.59,0,0,0
61.8,7,2,0,0,gas_station,0,3,5,1.92,1,0,0
140.3,17,6,1,0,online_shopping,0,3,2,1.78,0,0,0
92.54,14,2,0,0,restaurant,0,1,2,1.88,1,0,0
77.05,20,4,0,0,restaurant,0,1,6,0.95,0,0,0
106.99,18,0,0,0,retail,0,3,5,1.41,0,0,0
83.3,22,2,0,0,restaurant,0,1,1,0.62,0,0,0
237.78,20,5,1,0,restaurant,0,2,2,0.89,0,0,0
239.48,19,2,0,0,retail,0,2,2,1.65,1,0,0
120.28,11,2,0,0,restaurant,0,1,5,1.47,0,0,0
87.94,11,0,0,0,restaurant,0,4,7,1.99,0,0,0
146.19,15,5,1,0,entertainment,0,1,4,1.28,0,0,0
9.92,17,4,0,0,entertainment,0,1,2,1.47,0,0,0
101.09,9,4,0,0,retail,0,1,6,0.81,0,0,0
495.23,14,6,1,0,online_shopping,1,3,5,0.83,0,0,0
25.95,8,5,1,0,travel,0,2,4,1.01,0,0,0
82.32,11,0,0,0,pharmacy,0,1,4,1.74,1,0,0
113.48,9,4,0,0,gas_station,0,1,7,1.02,0,0,0
340.88,15,3,0,0,retail,0,2,6,1.38,0,0,0
136.2,16,5,1,0,travel,0,2,9,1.59,0,0,0
79.05,1,4,0,1,grocery,0,3,4,1.09,0,0,0
520.89,4,6,1,1,travel,1,2,3,3.13,1,0,1
473.87,5,4,0,0,pharmacy,0,1,7,1.41,0,0,0
207.5,16,5,1,0,retail,0,2,5,0.79,0,0,0
70.71,19,4,0,0,travel,0,1,5,1.49,0,0,0
366.2,7,6,1,0,utilities,0,1,9,0.6,0,0,0
5983.62,4,5,1,1,electronics,1,1,4,19.0,1,1,1
358.41,14,2,0,0,retail,0,3,5,1.7,0,0,0
2151.14,0,5,1,1,pawn_shop,0,7,9,9.13,1,1,1
218.02,9,6,1,0,gas_station,0,1,3,1.92,1,0,0
68.79,6,2,0,0,retail,0,1,5,1.56,0,0,0
199.49,14,2,0,0,electronics,0,2,6,0.83,0,0,0
50.83,11,5,1,0,online_shopping,0,2,8,1.32,0,0,0
57.41,14,1,0,0,entertainment,0,2,1,1.1,0,0,0
141.03,15,0,0,0,utilities,0,1,7,0.97,0,0,0
104.29,13,3,0,0,utilities,0,1,1,1.95,0,0,0
404.14,10,1,0,0,grocery,0,1,4,0.91,0,0,0
66.08,16,5,1,0,travel,0,2,9,1.82,0,0,0
16.22,17,3,0,0,utilities,0,2,6,0.58,0,0,0
366.71,10,0,0,0,pharmacy,0,1,3,0.86,0,0,0
22.76,9,6,1,0,entertainment,0,2,8,0.79,0,0,0
26.86,20,4,0,0,pharmacy,0,1,7,1.14,0,0,0
752.32,22,0,0,0,entertainment,0,1,2,1.86,0,0,0
340.47,10,6,1,0,travel,0,4,4,1.15,0,0,0
6.13,9,6,1,0,entertainment,0,2,4,1.25,1,0,0
178.01,23,4,0,1,electronics,0,3,7,1.89,0,0,0
15.48,18,2,0,0,gas_station,0,2,2,1.72,0,0,0
86.6,16,5,1,0,pharmacy,0,2,1,0.57,0,0,0
33.71,19,6,1,0,utilities,0,1,4,0.77,1,0,0
119.35,8,0,0,0,gas_station,0,1,3,1.54,0,0,0
1461.75,20,2,0,0,online_shopping,0,1,3,1.32,0,0,0
110.4,17,0,0,0,pharmacy,0,2,9,1.24,0,0,0
747.37,14,2,0,0,retail,0,1,1,0.61,0,0,0
148.16,11,4,0,0,grocery,0,1,2,1.3,0,0,0
2.33,5,2,0,0,unknown,0,32,36,0.03,1,1,1
19.81,8,1,0,0,restaurant,0,2,9,1.25,0,0,0
74.94,18,4,0,0,pharmacy,0,1,3,0.64,0,0,0
107.82,19,0,0,0,pharmacy,0,4,6,1.84,0,0,0
391.26,3,3,0,1,entertainment,0,1,5,1.14,0,0,0
145.33,11,5,1,0,grocery,0,1,7,1.45,1,0,0
1046.87,20,0,0,0,online_shopping,0,1,6,1.09,0,0,0
594.92,16,4,0,0,utilities,1,1,1,1.94,0,0,0
1903.76,4,0,0,1,unknown,1,7,15,10.49,1,1,1
23.14,20,2,0,0,electronics,0,1,6,1.5,0,0,0
476.45,8,0,0,0,entertainment,0,3,5,1.59,0,0,0
144.97,14,1,0,0,entertainment,0,1,5,1.4,0,0,0
46.16,15,0,0,0,online_shopping,0,1,3,1.14,0,0,0
6.8,5,4,0,0,travel,0,1,6,1.46,0,0,0
221.42,15,5,1,0,retail,0,4,2,1.14,0,0,0
267.73,22,5,1,0,grocery,0,1,2,0.94,0,0,0
321.09,10,1,0,0,online_shopping,0,1,4,1.81,0,0,0
423.23,12,6,1,0,pharmacy,0,2,9,1.28,0,0,0
87.83,10,6,1,0,online_shopping,0,3,6,1.24,0,0,0
22.99,14,1,0,0,retail,0,1,3,1.02,0,0,0
558.19,8,5,1,0,restaurant,0,1,9,1.49,0,0,0
92.36,12,4,0,0,pharmacy,0,3,8,1.66,0,0,0
55.24,9,0,0,0,restaurant,0,1,1,0.65,0,0,0
350.65,16,0,0,0,restaurant,0,2,2,1.23,0,0,0
132.99,21,0,0,0,pharmacy,0,2,8,1.15,0,0,0
79.4,12,2,0,0,restaurant,0,2,2,1.17,1,0,0
39.46,11,0,0,0,travel,0,3,2,1.0,1,0,0
123.25,16,0,0,0,electronics,0,2,6,1.98,0,0,0
14.06,7,3,0,0,restaurant,0,3,9,1.5,0,0,0
62.71,3,5,1,1,entertainment,1,1,3,1.45,0,0,0
30.32,3,1,0,1,retail,0,1,5,1.5,0,0,0
107.04,7,6,1,0,gas_station,0,2,8,0.58,0,0,0
231.26,14,1,0,0,utilities,0,2,9,1.4,0,0,0
40.05,10,6,1,0,gas_station,0,3,2,1.99,0,0,0
117.39,16,6,1,0,utilities,0,2,3,1.28,0,0,0
235.55,8,3,0,0,gas_station,0,3,1,0.58,0,0,0
320.18,15,1,0,0,gas_station,0,1,1,1.07,0,0,0
376.31,21,3,0,0,retail,0,2,5,1.6,0,0,0
74.93,14,6,1,0,electronics,0,1,9,1.79,0,0,0
26.42,1,0,0,1,entertainment,0,3,2,1.49,1,0,0
494.69,9,0,0,0,online_shopping,0,3,1,1.47,0,0,0
1167.87,11,3,0,0,grocery,0,1,2,1.43,0,0,0
216.76,10,2,0,0,entertainment,0,1,1,1.3,0,0,0
162.38,11,0,0,0,online_shopping,0,2,6,1.38,0,0,0
113.7,18,1,0,0,grocery,0,2,6,0.92,0,0,0
49.33,2,5,1,1,restaurant,0,1,7,1.65,0,0,0
449.39,13,0,0,0,pharmacy,0,1,3,0.55,0,0,0
53.6,11,2,0,0,retail,0,3,2,1.2,0,0,0
375.23,2,3,0,1,travel,0,1,9,1.52,0,0,0
435.97,2,0,0,1,travel,0,1,6,1.0,0,0,0
449.25,2,2,0,1,pharmacy,0,1,3,0.55,0,0,0
58.36,1,3,0,1,pharmacy,0,4,1,1.89,0,0,0
1181.6,13,1,0,0,gas_station,0,1,5,1.65,0,0,0
66.52,11,4,0,0,grocery,0,1,6,0.7,1,0,0
109.24,17,1,0,0,online_shopping,0,3,1,0.74,0,0,0
597.74,19,6,1,0,grocery,0,3,4,1.9,1,0,0
122.52,11,4,0,0,retail,0,1,6,1.74,0,0,0
50.79,10,4,0,0,online_shopping,0,1,7,1.29,0,0,0
56.81,15,5,1,0,electronics,0,1,6,1.9,0,0,0
59.62,8,3,0,0,utilities,0,2,9,1.44,0,0,0
23.34,22,4,0,0,restaurant,0,1,4,0.85,0,0,0
187.42,20,4,0,0,pharmacy,0,3,1,1.54,0,0,0
7.92,9,4,0,0,retail,0,3,4,2.0,0,0,0
102.13,15,2,0,0,gas_station,0,3,9,1.7,0,0,0
82.02,7,4,0,0,utilities,0,2,9,1.8,1,0,0
495.28,10,4,0,0,retail,0,1,7,1.65,0,0,0
351.41,10,1,0,0,online_shopping,0,1,8,0.91,0,0,0
40.82,20,4,0,0,pharmacy,0,1,6,0.99,1,0,0
46.9,14,4,0,0,entertainment,0,2,2,0.97,0,0,0
51.09,11,1,0,0,gas_station,0,1,2,0.65,0,0,0
492.11,6,2,0,0,restaurant,1,2,8,1.45,0,0,0
1456.37,4,6,1,1,crypto,1,1,1,8.85,1,1,1
135.83,1,6,1,1,online_shopping,0,1,3,0.96,0,0,0
324.57,10,2,0,0,entertainment,0,1,3,0.72,0,0,0
41.68,8,4,0,0,travel,1,1,4,0.62,0,0,0
194.5,19,5,1,0,travel,0,1,2,0.8,0,0,0
